cod_scuola,anno_corso,scuola,regione,nazionale
AGTD014018,5,0.0,0.3,0.2
AGTD01601X,1,0.0,2.5,1.1
AGTD01601X,2,0.0,1.1,0.6
AGTD01601X,3,0.0,1.4,0.7
AGTD01601X,4,0.0,0.9,0.5
AGTD01601X,5,0.0,0.3,0.2
AGTD016519,5,,,
AGTD02000E,1,0.0,2.5,1.1
AGTD02000E,2,0.0,1.1,0.6
AGTD02000E,3,0.0,1.4,0.7
AGTD02000E,4,0.0,0.9,0.5
AGTD02000E,5,1.0,0.3,0.2
AGTD030005,1,0.0,2.5,1.1
AGTD030005,2,0.0,1.1,0.6
AGTD030005,3,0.0,1.4,0.7
AGTD030005,4,0.0,0.9,0.5
AGTD030005,5,0.0,0.3,0.2
AGTD03050E,5,,,
AGTD09000R,1,0.0,2.5,1.1
AGTD09000R,2,0.0,1.1,0.6
AGTD09000R,3,0.0,1.4,0.7
AGTD09000R,4,0.0,0.9,0.5
AGTD09000R,5,0.0,0.3,0.2
AGTD09001T,1,0.0,2.5,1.1
AGTD09001T,2,0.0,1.1,0.6
AGTD09001T,3,0.0,1.4,0.7
AGTD09001T,4,0.0,0.9,0.5
AGTD09001T,5,0.0,0.3,0.2
AGTL011017,1,0.0,2.5,1.1
AGTL011017,2,0.0,1.1,0.6
AGTL011017,3,0.0,1.4,0.7
AGTL011017,4,0.0,0.9,0.5
AGTL011017,5,0.0,0.3,0.2
AGTL01401P,1,0.0,2.5,1.1
AGTL01401P,2,0.0,1.1,0.6
AGTL01401P,3,0.0,1.4,0.7
AGTL01401P,4,0.0,0.9,0.5
AGTL01401P,5,0.0,0.3,0.2
ALMM081008,1,0.0,0.1,0.2
ALMM081008,2,0.0,0.1,0.1
ALMM081008,3,0.0,0.1,0.2
ALMM082004,1,0.0,0.1,0.2
ALMM082004,2,0.0,0.1,0.1
ALMM082004,3,0.0,0.1,0.2
ALMM08300X,1,0.0,0.1,0.2
ALMM08300X,2,0.0,0.1,0.1
ALMM08300X,3,0.0,0.1,0.2
ALMM083011,1,0.0,0.1,0.2
ALMM083011,2,0.0,0.1,0.1
ALMM083011,3,0.0,0.1,0.2
ALMM08400Q,1,0.0,0.1,0.2
ALMM08400Q,2,0.0,0.1,0.1
ALMM08400Q,3,0.0,0.1,0.2
ALMM08401R,1,0.0,0.1,0.2
ALMM08401R,2,0.0,0.1,0.1
ALMM08401R,3,0.0,0.1,0.2
ALMM08600B,1,0.0,0.1,0.2
ALMM08600B,2,0.0,0.1,0.1
ALMM08600B,3,0.0,0.1,0.2
ALMM08601C,1,0.0,0.1,0.2
ALMM08601C,2,0.0,0.1,0.1
ALMM08601C,3,0.0,0.1,0.2
ALMM08602D,1,0.0,0.1,0.2
ALMM08602D,2,0.0,0.1,0.1
ALMM08602D,3,0.0,0.1,0.2
ALMM087007,1,0.0,0.1,0.2
ALMM087007,2,0.0,0.1,0.1
ALMM087007,3,0.4,0.1,0.2
ALMM08900V,1,0.0,0.1,0.2
ALMM08900V,2,0.0,0.1,0.1
ALMM08900V,3,0.0,0.1,0.2
ALMM80501P,1,0.0,0.1,0.2
ALMM80501P,2,0.0,0.1,0.1
ALMM80501P,3,0.0,0.1,0.2
ALMM80502Q,1,,0.1,0.2
ALMM80502Q,2,0.0,0.1,0.1
ALMM80502Q,3,0.0,0.1,0.2
ALMM80601E,1,0.0,0.1,0.2
ALMM80601E,2,0.0,0.1,0.1
ALMM80601E,3,0.0,0.1,0.2
ALMM80602G,1,0.0,0.1,0.2
ALMM80602G,2,0.0,0.1,0.1
ALMM80602G,3,0.0,0.1,0.2
ALMM80701A,1,0.0,0.1,0.2
ALMM80701A,2,0.0,0.1,0.1
ALMM80701A,3,0.0,0.1,0.2
ALMM80702B,1,0.0,0.1,0.2
ALMM80702B,2,0.0,0.1,0.1
ALMM80702B,3,0.0,0.1,0.2
ALMM808016,1,0.0,0.1,0.2
ALMM808016,2,0.0,0.1,0.1
ALMM808016,3,0.0,0.1,0.2
ALMM808027,1,0.0,0.1,0.2
ALMM808027,2,0.0,0.1,0.1
ALMM808027,3,0.0,0.1,0.2
ALMM809012,1,0.0,0.1,0.2
ALMM809012,2,0.0,0.1,0.1
ALMM809012,3,0.0,0.1,0.2
ALMM809023,1,0.0,0.1,0.2
ALMM809023,2,0.0,0.1,0.1
ALMM809023,3,0.0,0.1,0.2
ALMM810016,1,0.0,0.1,0.2
ALMM810016,2,0.0,0.1,0.1
ALMM810016,3,0.0,0.1,0.2
ALMM810027,1,0.0,0.1,0.2
